normalized_series_name,franchise_name
die drei ???,Die drei ???
die drei ??? kids,Die drei ???
tkkg,TKKG
john sinclair,John Sinclair
gruselkabinett,Gruselkabinett
perry rhodan (silberbände),Perry Rhodan
benjamin blümchen,Benjamin Blümchen
bibi blocksberg,Bibi Blocksberg
fünf freunde,Fünf Freunde
sherlock holmes chronicles,Sherlock Holmes
sherlock holmes & co,Sherlock Holmes
sherlock holmes,Sherlock Holmes
walt disney,Walt Disney
geister-schocker,Geister-Schocker
pater brown,Pater Brown
die drei !!!,Die drei !!!
karl may,Karl May
teufelskicker,Teufelskicker
bibi & tina,Bibi & Tina
lady bedfort,Lady Bedfort
die playmos,Die Playmos
hanni und nanni,Hanni und Nanni
midnight tales,Midnight Tales
